K,log10 Put,fractional occ
0.13,-6.009140768,0.790974918
0.13,-5.003656307,0.818259248
0.13,-4.610603291,0.726708289
0.13,-4.299817185,0.828214592
0.13,-3.010968921,0.791556
0.13,-2.709323583,0.749378454
0.13,-2.535648995,0.659342555
0.13,-2.407678245,0.688332984
0.13,-2.307129799,0.649116569
0.13,-1.996343693,0.506791232
0.13,-1.822669104,0.341283634
0.13,-1.694698355,0.199011364
0.13,-1.612431444,0.109001998
0.13,-1.42047532,0.050891125
0.16,-3.001828154,0.605776859
0.16,-2.691042048,0.565048039
0.16,-2.407678245,0.505459254
0.16,-2.234003656,0.487992295
0.16,-2.297989031,0.425601579
0.16,-2.160877514,0.434270052
0.16,-2.106032907,0.441511026
0.16,-1.996343693,0.416805746
0.16,-1.822669104,0.252749527
0.16,-1.703839122,0.199014018
0.16,-1.603290676,0.133672784
0.16,-1.301645338,0.058113526
0.16,-3.31261426,0.639248785
0.19,-6,0.541335109
0.19,-4.994515539,0.525078075
0.19,-4.610603291,0.604792469
0.19,-4.308957952,0.488594604
0.19,-3.60511883,0.501452705
0.19,-3.010968921,0.45048198
0.19,-2.691042048,0.486673583
0.19,-2.535648995,0.357455762
0.19,-2.398537477,0.376283887
0.19,-2.288848263,0.38350894
0.19,-2.224862888,0.334143488
0.19,-2.151736746,0.297837791
0.19,-2.087751371,0.309430248
0.19,-2.014625229,0.280381445
0.19,-1.813528336,0.136636569
0.19,-1.685557587,0.094509437
0.21,-5.990859232,0.362812862
0.21,-5.012797075,0.408973077
0.21,-4.592321755,0.394337235
0.21,-4.299817185,0.404411979
0.21,-3.60511883,0.414369977
0.21,-3.010968921,0.398232343
0.21,-2.700182815,0.344441113
0.21,-2.398537477,0.281944264
0.21,-2.297989031,0.308039896
0.21,-2.215722121,0.263023272
0.21,-2.096892139,0.199128111
0.21,-2.005484461,0.175879517
0.21,-2.142595978,0.194787242
0.21,-1.822669104,0.094549237
0.21,-1.676416819,0.069833344
0.24,-6,0.271378651
0.24,-4.994515539,0.294308844
0.24,-4.610603291,0.269523964
0.24,-4.290676417,0.27813937
0.24,-3.60511883,0.270683475
0.24,-3.001828154,0.25164043
0.24,-2.700182815,0.226879429
0.24,-2.517367459,0.190541892
0.24,-2.398537477,0.18905602
0.24,-2.297989031,0.170158909
0.24,-2.215722121,0.177391923
0.24,-2.151736746,0.136734743
0.24,-2.096892139,0.10333711
0.24,-2.005484461,0.103310576
0.24,-1.822669104,0.066973039
0.24,-1.694698355,0.043713832
