Mg,LOG10 Na,log K
0,0.000570198,-8.414814815
0,0.299670973,-7.881481481
0,0.520764858,-7.511111111
0,0.59875969,-7.333333333
0,0.696277347,-7.140740741
0,0.81980534,-6.903703704
0,0.988806202,-6.533333333
0,1.697162791,-4.8
0,2.691283376,-2.148148148
0.002,0.000582257,-8.42962963
0.002,0.293219638,-7.955555556
0.002,0.520801034,-7.555555556
0.002,0.598807924,-7.392592593
0.002,0.702861326,-7.22962963
0.002,0.819913867,-7.037037037
0.002,0.995486649,-6.740740741
0.002,1.697982773,-5.807407407
0.002,2.693936262,-5.407407407
0.02,0.000666667,-8.533333333
0.02,0.29986391,-8.118518519
0.02,0.521042205,-7.851851852
0.02,0.605621016,-7.762962963
0.02,0.690175711,-7.644444444
0.02,0.820347976,-7.57037037
0.02,0.989541774,-7.437037037
0.02,1.288956072,-7.288888889
0.02,1.386606374,-7.259259259
0.02,1.692580534,-7.17037037
0.02,1.992115418,-7.17037037
0.02,2.193975883,-7.17037037
0.02,2.695335056,-7.125925926
0.1,0.000847545,-8.755555556
0.1,0.300165375,-8.488888889
0.1,0.521464255,-8.37037037
0.1,0.606079242,-8.325925926
0.1,0.697229974,-8.311111111
0.1,0.820914729,-8.266666667
0.1,0.990192937,-8.237037037
0.1,1.686864772,-8.148148148
0.1,2.689655469,-8.148148148
1,1.00E+06,-9.274666667
0.5,1.00E+06,-8.997333333
0.3,1.00E+06,-8.752
0.25,1.00E+06,-8.645333333
0.2,1.00E+06,-8.549333333
0.15,1.00E+06,-8.378666667
0.1,1.00E+06,-8.154666667
0.02,1.00E+06,-7.077333333
0.002,1.00E+06,-5.328
