Na,ln MgCl2,f
0,-2.79843342,0.953900709
0,-2.79843342,0.992907801
0,-2.748302872,0.957446809
0,-2.688772846,0.992907801
0,-2.690339426,0.957446809
0,-2.632375979,0.921985816
0,-2.632375979,0.890070922
0,-2.632375979,0.872340426
0,-2.632375979,0.854609929
0,-2.605744125,0.918439716
0,-2.605744125,0.897163121
0,-2.604177546,0.854609929
0,-2.593211488,0.921985816
0,-2.593211488,0.882978723
0,-2.590078329,0.804964539
0,-2.590078329,0.765957447
0,-2.577545692,0.69858156
0,-2.577545692,0.670212766
0,-2.577545692,0.65248227
0,-2.577545692,0.645390071
0,-2.525848564,0.585106383
0,-2.525848564,0.567375887
0,-2.525848564,0.574468085
0,-2.525848564,0.432624113
0,-2.525848564,0.393617021
0,-2.502349869,0.457446809
0,-2.502349869,0.503546099
0,-2.502349869,0.517730496
0,-2.50078329,0.54964539
0,-2.477284595,0.241134752
0,-2.477284595,0.219858156
0,-2.477284595,0.205673759
0,-2.430287206,0.106382979
0,-2.430287206,0.078014184
0,-2.419321149,0.191489362
0,-2.419321149,0.180851064
0,-2.420887728,0.159574468
0,-2.384856397,0.042553191
0,-2.344125326,0.170212766
0,-2.344125326,0.063829787
0,-2.344125326,0.028368794
0,-2.273629243,0.031914894
