Mg,ln NaCl2,f
0,-1.717086835,0.982332155
0,-1.56022409,0.992932862
0,-1.53557423,0.96819788
0,-1.477310924,0.950530035
0,-1.468347339,0.985865724
0,-1.425770308,0.918727915
0,-1.425770308,0.886925795
0,-1.376470588,0.777385159
0,-1.376470588,0.766784452
0,-1.383193277,0.681978799
0,-1.331652661,0.632508834
0,-1.331652661,0.61130742
0,-1.307002801,0.501766784
0,-1.286834734,0.45229682
0,-1.286834734,0.438162544
0,-1.244257703,0.25795053
0,-1.235294118,0.19434629
0,-1.203921569,0.180212014
0,-1.203921569,0.144876325
0,-1.170308123,0.120141343
0,-1.170308123,0.088339223
0,-1.161344538,0.06360424
0,-1.129971989,0.035335689
0,-1.109803922,0.045936396
0,-1.089635854,0.024734982
