Mg (M),Na (M),lnK
0,-0.814816186,4.356981896
0,-0.846743378,4.749866643
0,-0.873636769,5.105357123
0,-0.910310367,5.507549614
0.003,-0.923748353,4.093534656
0.003,-0.959847157,4.439554099
0.003,-1.007981798,4.598166756
0.003,-1.043410009,4.878650976
0.003,-1.099260824,5.336798789
0.003,-1.156696676,5.495302583
0.003,-1.224200133,5.728594912
0.003,-1.260107338,6.055890005
0.01,-1.39451333,4.191021021
0.01,-1.52693367,4.404826963
0.01,-1.706913857,4.721072513
0.01,-1.825573978,4.953766098
0.01,-2.003829783,5.101492505
0.01,-2.309376327,5.416268411
