Mg,logNa,logK
0,-0.785454545,4.136363636
0,-0.858181818,4.718181818
0,-0.854545455,4.936363636
0,-0.887272727,4.954545455
0,-0.887272727,5.027272727
0,-0.887272727,5.081818182
0,-0.887272727,5.118181818
0,-0.887272727,5.163636364
0,-0.883636364,5.2
0,-0.883636364,5.254545455
0,-0.92,5.554545455
0,-0.916363636,5.609090909
0,-0.96,5.790909091
0,-0.96,5.945454545
0,-1.003636364,6.145454545
0,-1.003636364,6.190909091
0.003,-0.861818182,4.063636364
0.003,-0.92,4.409090909
0.003,-0.956363636,4.718181818
0.003,-0.996363636,5.045454545
0.003,-0.996363636,5.145454545
0.003,-1.061818182,5.263636364
0.003,-1.112727273,5.545454545
0.003,-1.247272727,5.790909091
0.01,-1.214545455,4.381818182
0.01,-1.396363636,4.836363636
0.01,-1.530909091,5.054545455
0.01,-1.701818182,5.254545455
0.01,-2.007272727,5.409090909
