Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,0.131,6,0,5.96,9.130723861,8.841965303,9.416981143,8.966500758
1,1,0.131,6,10.5,5.81,6.166110456,6.747098654,5.978036174,6.400716765
1,1,0.131,6,20.08333333,5.83,2.719726542,3.138406266,2.31502087,2.565331247
1,1,0.131,6,30,5.96,3.465371582,4.628788193,2.472889494,3.442973647
1,2,0.131,6,0,6.08,7.167183914,7.116519938,7.47446316,7.196265585
1,2,0.131,6,10.43333333,5.85,5.415036997,5.915207147,5.294585714,5.49568963
1,2,0.131,6,19.95,5.85,3.788078284,4.409840756,3.288090939,3.755346404
1,2,0.131,6,29.85,5.86,2.69176193,3.44325738,2.081015956,2.67845695
1,3,0.131,6,0,5.88,6.025579625,6.06808001,6.301478346,6.215378673
1,3,0.131,6,9.833333333,5.92,4.541946381,4.897626877,4.322221367,4.621957659
1,3,0.131,6,19.93333333,5.81,4.705723324,5.713930606,3.869120512,4.677734318
1,3,0.131,6,30.16666667,5.75,2.478721716,3.379282755,1.638309109,2.490229306
2,1,0.0351,42.6,0,6.07,5.701744772,5.583032108,5.815628904,5.597263971
2,1,0.0351,42.6,10.11666667,5.9,3.528665952,4.087845676,2.895677452,3.447107026
2,1,0.0351,42.6,19.93333333,5.97,1.821441287,2.687681253,0.891567449,1.600072361
2,2,0.0351,42.6,0,5.87,5.573286863,5.512424909,5.785839377,5.635158656
2,2,0.0351,42.6,9.883333333,6.08,3.216149062,3.799527447,2.713539564,3.178804087
2,2,0.0351,42.6,20.26666667,6.08,2.184734584,3.339211548,1.113582191,2.109076419
2,3,0.0351,42.6,0,6.04,6.190628418,6.088515018,6.354433557,6.313877671
2,3,0.0351,42.6,10.21666667,6.03,3.060907239,3.573925427,2.534946864,2.965878844
2,3,0.0351,42.6,19.9,5.91,1.611494906,2.406451321,0.79432462,1.554324549
