Condition #,Replicate #,P1: DNA  (nM),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,1293,43,0,6,5.62413089,5.890285755,5.521208095,5.421248657
1,1,1293,43,10.21666667,6,3.407344503,4.899305874,5.066710955,4.134293487
1,1,1293,43,20.6,6,2.249891099,4.681130334,4.866776158,3.527135313
1,2,1293,43,0,6,5.68661466,5.856458899,5.746501815,5.473237775
1,2,1293,43,10.48333333,6,3.902713089,5.74514781,5.51758135,4.675131564
1,2,1293,43,20.46666667,6,2.534504712,5.075876114,5.155780279,3.629891868
1,3,1293,43,0,6,5.336151832,5.498415137,5.944479301,5.171879386
1,3,1293,43,10.6,6,3.574208377,5.30758747,5.366344344,4.448159477
1,3,1293,43,19.61666667,6,2.563937173,4.943941369,4.982971028,3.793588917
2,1,563,50.5,0,6,5.697033508,5.842063352,5.667903057,5.564116773
2,1,563,50.5,11.18333333,6,4.723281675,6.047891195,5.91876607,5.102398098
2,1,563,50.5,20.01666667,6,3.461193717,5.106987069,5.136716491,4.238972178
2,1,563,50.5,30.2,6,3.022072251,4.974203869,5.063506182,3.981654665
2,2,563,50.5,0,6,5.576996859,5.720872415,5.551219782,5.656228425
2,2,563,50.5,16.05,6,3.744824084,5.344791234,5.129907117,4.573350708
2,2,563,50.5,30.63333333,6,2.79111623,4.759424967,4.819325829,4.014619025
2,3,563,50.5,0,6,5.495549738,5.638155104,5.224179123,5.418154219
2,3,563,50.5,15.26666667,6,4.176364398,6.01682816,5.416423694,4.917809021
2,3,563,50.5,29.98333333,6,3.013796859,4.845209119,4.942819708,4.01479551
