Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,0.037625,31,0,6.09,4.804232243,4.737129045,5.118873783,4.806604609
1,1,0.037625,31,9.95,6.05,2.638636586,3.563381227,2.801661326,2.715423226
1,1,0.037625,31,19.91666667,6.08,0,0,0,0
1,1,0.037625,31,30.76666667,5.91,0,2.366414664,0.659713157,0.797843486
1,1,0.037625,31,39.95,6,0,2.233778703,0,0.451323751
1,2,0.037625,31,0,5.94,4.840065855,4.850110111,5.067783343,4.662652977
1,2,0.037625,31,10.15,6.11,2.517717696,3.538771317,2.657469433,2.678680356
1,2,0.037625,31,19.9,5.95,1.207295552,2.847308983,1.375661264,1.334022359
1,2,0.037625,31,30.21666667,5.83,0.615790909,2.596291124,0.764198737,0.849466575
1,2,0.037625,31,40.01666667,5.98,0,2.353310058,0,0.566180242
1,3,0.037625,31,0,6.04,4.735624212,4.805760709,5.197222412,4.912379649
1,3,0.037625,31,9.65,6.07,2.729914336,3.895006043,2.830553464,2.959664157
1,3,0.037625,31,19.76666667,5.96,1.091678028,2.630486102,1.151673459,1.275397673
1,3,0.037625,31,29.66666667,6.12,0,2.367382839,0,0.689731234
1,3,0.037625,31,39.7,5.86,0,2.118481268,0,0.47102715
2,1,0.037625,13,0,6.27,5.009378232,5.037374782,5.232437545,4.887727128
2,1,0.037625,13,10.15,5.88,3.36582821,4.047525178,3.752386523,3.770933151
2,1,0.037625,13,19.93333333,5.81,2.506433772,3.576570431,2.727669477,2.809524983
2,1,0.037625,13,29.76666667,5.89,1.898176112,3.222746072,2.072524655,2.041636322
2,1,0.037625,13,39.96666667,5.9,1.172984848,2.585015442,1.275459042,1.463771846
2,2,0.037625,13,0,5.93,5.009812466,5.027961595,5.261186573,4.783114762
2,2,0.037625,13,9.766666667,5.86,3.51596841,3.985053041,3.720815107,3.66122747
2,2,0.037625,13,20.18333333,5.89,2.586035552,3.479235934,3.17380705,2.912332193
2,2,0.037625,13,30.2,5.91,1.951025133,3.169650866,2.030136577,2.108228154
2,2,0.037625,13,39.93333333,5.91,1.336406246,2.718978112,1.533321719,1.579963495
2,3,0.037625,13,0,6.16,4.990326448,4.99598496,5.169827334,4.921641798
2,3,0.037625,13,9.966666667,5.99,3.685902297,4.378851887,4.025171266,4.035204198
2,3,0.037625,13,19.88333333,5.89,2.347487459,3.31916745,2.474896556,2.659753593
2,3,0.037625,13,29.75,5.91,1.782471124,2.982043776,1.936402949,2.099599361
2,3,0.037625,13,39.85,5.92,1.267808505,2.746805425,1.40780761,1.556831394
3,1,0.056209879,18.5,0,5.94,5.188430277,5.224357827,5.009919063,5.380034918
3,1,0.056209879,18.5,10.26666667,5.91,2.819302399,3.659182109,2.777131049,2.940794272
3,1,0.056209879,18.5,19.91666667,5.9,1.505509043,2.949916933,1.489937432,1.602386793
3,1,0.056209879,18.5,29.83333333,5.92,0.61231663,2.225980831,0.634188623,0.865221331
3,1,0.056209879,18.5,39.9,5.88,0,2.825789137,0,1.091878274
3,2,0.056209879,18.5,0,5.92,5.12864849,5.508025559,5.319855347,5.768304272
3,2,0.056209879,18.5,10.06666667,5.95,3.074207327,4.237201278,2.806474944,3.964313023
3,2,0.056209879,18.5,20.11666667,5.94,1.207381191,2.697303514,1.081017163,1.45171827
3,2,0.056209879,18.5,29.75,6.03,0.691596085,2.662517572,1.226083462,0.96221353
3,2,0.056209879,18.5,39.83333333,5.91,0,2.233916933,0,0
3,3,0.056209879,18.5,0,5.95,4.720466694,4.955974441,4.841972332,4.876342019
3,3,0.056209879,18.5,10.05,5.97,2.605179526,3.562198083,2.679249182,2.894313686
3,3,0.056209879,18.5,20,5.96,1.536976739,3.013380192,1.151673459,1.773740856
3,3,0.056209879,18.5,29.86666667,5.98,0,2.305188498,0.71792664,0.83097527
3,3,0.056209879,18.5,39.95,5.95,0,2.017904153,0,0.573360737
4,1,0.035236,32.4,0,6.08,4.896199566,5.180166134,4.906698812,4.899493911
4,1,0.035236,32.4,9.983333333,6.03,2.744904684,3.726031949,2.627564434,2.840663882
4,1,0.035236,32.4,20.06666667,6,1.04570773,2.479821086,1.128270478,1.219058985
4,1,0.035236,32.4,30,5.97,0,2.198760383,0,0
4,1,0.035236,32.4,39.93333333,6.07,0,2.209840256,0,0.474273465
4,2,0.035236,32.4,0,5.96,4.686216408,4.597801917,4.71011997,5.008305156
4,2,0.035236,32.4,9.733333333,5.98,2.310527472,3.271897764,2.597152861,2.622820394
4,2,0.035236,32.4,19.9,5.94,1.129927506,2.689354633,1.221560186,1.455873058
4,2,0.035236,32.4,30.05,5.96,0,2.124958466,0,0.755667529
4,2,0.035236,32.4,39.9,5.96,0,2.080728435,0,0
4,3,0.035236,32.4,0,6,5.021923894,5.073226837,4.971769703,4.820084422
4,3,0.035236,32.4,9.7,6.12,2.805067246,3.758875399,2.67658573,2.836721254
