Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,0.037625,31,0,6.09,5.120922427,4.736334038,4.942355592,4.957839644
1,1,0.037625,31,9.95,6.05,2.81257287,3.562783204,2.705049413,2.800861318
1,1,0.037625,31,19.91666667,6.08,0,0,0,0
1,1,0.037625,31,30.76666667,5.91,0,2.366017521,0,0.822946838
1,1,0.037625,31,39.95,6,0,2.23340382,0,0.465524204
1,2,0.037625,31,0,5.94,5.159118155,4.849296143,4.893026944,4.809358718
1,2,0.037625,31,10.15,6.11,2.683683128,3.538177424,2.565829804,2.76296237
1,2,0.037625,31,19.9,5.95,1.286879267,2.846831135,1.328223244,1.375996046
1,2,0.037625,31,30.21666667,5.83,0.65638323,2.595855402,0.737846265,0.876194197
1,2,0.037625,31,40.01666667,5.98,0,2.352915114,0,0.58399454
1,3,0.037625,31,0,6.04,5.047791823,4.804954184,5.018002463,5.066942791
1,3,0.037625,31,9.65,6.07,2.909867559,3.894352365,2.73294524,3.052787047
1,3,0.037625,31,19.76666667,5.96,1.163640352,2.630044641,1.111959388,1.315526793
1,3,0.037625,31,29.66666667,6.12,0,2.366985534,0,0.711432942
1,3,0.037625,31,39.7,5.86,0,2.118125734,0,0.485847551
2,1,0.037625,13,0,6.27,5.339591434,5.036529386,5.052003244,5.041514602
2,1,0.037625,13,10.15,5.88,3.587700239,4.046845903,3.622989997,3.889581813
2,1,0.037625,13,19.93333333,5.81,2.671655379,3.575970194,2.633609084,2.897923893
2,1,0.037625,13,29.76666667,5.89,2.023301983,3.222205216,2.001056141,2.105874379
2,1,0.037625,13,39.96666667,5.9,1.250306836,2.584581613,1.231476375,1.509827972
2,2,0.037625,13,0,5.93,5.340054293,5.027117779,5.079760896,4.933610712
2,2,0.037625,13,9.766666667,5.86,3.747737531,3.984384251,3.592507284,3.776424352
2,2,0.037625,13,20.18333333,5.89,2.756504428,3.478652032,3.06436214,3.00396583
2,2,0.037625,13,30.2,5.91,2.079634758,3.169118921,1.960129765,2.174561457
2,2,0.037625,13,39.93333333,5.91,1.424500809,2.7185218,1.480446968,1.629675476
2,3,0.037625,13,0,6.16,5.319283775,4.995146511,4.991552071,5.076496364
2,3,0.037625,13,9.966666667,5.99,3.92887329,4.378117007,3.886368087,4.162167886
2,3,0.037625,13,19.88333333,5.89,2.502231484,3.318610412,2.389552732,2.743440096
2,3,0.037625,13,29.75,5.91,1.899969837,2.981543316,1.869628428,2.165661168
2,3,0.037625,13,39.85,5.92,1.351381173,2.746344443,1.359261062,1.605815546
3,1,0.056209879,18.5,0,5.94,5.828639118,5.488615447,5.24333063,5.728967124
3,1,0.056209879,18.5,10.26666667,5.91,3.167185281,3.844276172,2.906515274,3.131526604
3,1,0.056209879,18.5,19.91666667,5.9,1.69127862,3.09912664,1.559348773,1.706313981
3,1,0.056209879,18.5,29.83333333,5.92,0.687871891,2.338580203,0.663731339,0.921341397
3,1,0.056209879,18.5,39.9,5.88,0,2.968721512,0,1.162694091
3,2,0.056209879,18.5,0,5.92,5.761488387,5.78663713,5.567705386,6.142426282
3,2,0.056209879,18.5,10.06666667,5.95,3.45353588,4.451531568,2.937223874,4.221425647
3,2,0.056209879,18.5,20.11666667,5.94,1.356366229,2.833744839,1.131378451,1.545874379
3,2,0.056209879,18.5,29.75,6.03,0.776930544,2.797198,1.28320447,1.024615819
3,2,0.056209879,18.5,39.83333333,5.91,0,2.346919075,0,0
3,3,0.056209879,18.5,0,5.95,5.302941128,5.206660625,5.067554594,5.192610548
3,3,0.056209879,18.5,10.05,5.97,2.926635773,3.742379754,2.804074374,3.082034217
3,3,0.056209879,18.5,20,5.96,1.726631386,3.165805391,1.612396143,1.888779799
3,3,0.056209879,18.5,29.86666667,5.98,0,2.421789011,0.751369439,0.884866684
3,3,0.056209879,18.5,39.95,5.95,0,2.119975833,0,0.610551385
4,1,0.035236,32.4,0,6.08,5.500355919,5.442196489,5.135293022,5.21726402
4,1,0.035236,32.4,9.983333333,6.03,3.083605254,3.914500722,2.749976871,3.024901984
4,1,0.035236,32.4,20.06666667,6,1.174734706,2.605250898,1.180832057,1.298120632
4,1,0.035236,32.4,30,5.97,0,2.309978854,0,0
4,1,0.035236,32.4,39.93333333,6.07,0,2.321619172,0,0.505036594
4,2,0.035236,32.4,0,5.96,5.264456936,4.830368207,4.929556937,5.333132516
4,2,0.035236,32.4,9.733333333,5.98,2.595624777,3.437391334,2.718148449,2.792925894
4,2,0.035236,32.4,19.9,5.94,1.269346568,2.825391199,1.278466853,1.550298637
4,2,0.035236,32.4,30.05,5.96,0,2.232449233,0,0.804676535
4,2,0.035236,32.4,39.9,5.96,0,2.185975229,0,0
4,3,0.035236,32.4,0,6,5.641594779,5.329841238,5.203397915,5.132706093
4,3,0.035236,32.4,9.7,6.12,3.151193616,3.949005471,2.801282028,3.020700821
4,3,0.035236,32.4,19.73333333,5.98,1.280698676,2.753836136,1.160844673,1.420437248
4,3,0.035236,32.4,30.08333333,6.02,0,2.434103313,0.513915473,0.81819029
4,3,0.035236,32.4,40.1,6.02,0,2.275319706,0,0
