Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,0.024157,121,0,6.01,5.148128686,4.818893061,5.144512004,4.927966557
1,1,0.024157,121,10.46666667,5.88,4.155830563,4.403912481,3.83024422,3.994421356
1,1,0.024157,121,20.03333333,5.92,3.289352279,3.83251942,2.824471744,3.076310566
1,1,0.024157,121,30,5.95,2.700828954,3.3075971,2.043622154,2.327955801
1,1,0.024157,121,39.73333333,5.86,2.207387668,3.062246245,1.419193038,1.974378331
1,2,0.024157,121,0,6.02,4.893848794,4.614158467,4.69924869,4.870803305
1,2,0.024157,121,9.3,5.99,3.753598928,3.785014241,3.236492703,3.643803843
1,2,0.024157,121,19,5.98,3.166436461,3.615100984,2.456553684,2.988324451
1,2,0.024157,121,28.85,5.94,2.71301555,3.334826515,1.94060093,2.350083606
1,2,0.024157,121,39.25,5.9,2.408614477,3.113729933,1.404430893,1.962513079
1,3,0.024157,121,0,5.98,4.792425737,4.536481098,4.680683224,4.981442331
1,3,0.024157,121,10.08333333,5.88,4.022319571,4.288574573,3.614209171,4.009039261
1,3,0.024157,121,19.76666667,5.94,3.262411796,3.670024599,2.622493117,3.03081015
1,3,0.024157,121,29.91666667,5.95,2.994315282,3.655432418,2.116373109,2.560969051
1,3,0.024157,121,39.93333333,5.91,2.446838606,3.165416882,1.600700986,2.201194935
4,1,0.31059,122,0,6,5.032817158,4.752011911,4.830409994,4.875640737
4,1,0.31059,122,9.983333333,5.98,2.7196,3.453961678,1.958050975,2.511824182
4,1,0.31059,122,19.68333333,6.06,1.603723324,2.872621699,0.45524052,1.076739843
4,2,0.31059,122,0,5.93,4.908973727,4.719835577,4.753074213,5.010829707
4,2,0.31059,122,5.016666667,5.95,3.354752815,3.659962455,2.834664456,3.265309735
4,2,0.31059,122,9.9,5.88,2.64849866,3.397973848,1.77839614,2.347245881
4,2,0.31059,122,14.95,5.85,1.955637534,2.925756085,0.889845771,1.400767614
4,2,0.31059,122,19.98333333,5.88,1.487643968,2.62362377,0.32004618,0.978380678
4,3,0.31059,122,0,5.87,0,0,0,0
4,3,0.31059,122,4.966666667,5.82,3.472881501,3.738872346,2.86443859,3.12813377
4,3,0.31059,122,10.21666667,5.95,2.419336193,3.100181253,1.584432669,2.040419498
4,3,0.31059,122,14.88333333,5.85,1.698206971,2.812296737,0.65669696,1.28786975
4,3,0.31059,122,19.75,5.89,1.348716354,2.557159503,0.172192653,0.850126632
7,1,0.024157,123,0,6.33,5.322208043,5.105568358,5.182449306,5.178305383
7,1,0.024157,123,14.78333333,5.89,5.055201072,4.886053858,4.929491726,4.99813817
7,1,0.024157,123,30.03333333,5.93,4.935562466,4.869049715,4.780656582,5.058111768
7,1,0.024157,123,44.93333333,6.03,5.066039678,4.787387364,4.88070809,4.896889454
7,1,0.024157,123,60.21666667,5.94,5.461044504,5.133970741,5.105352713,4.904183249
7,1,0.024157,123,120.0666667,5.99,5.052718499,5.081229933,4.767275095,5.088299027
7,1,0.024157,123,239.9,5.94,4.404994102,4.462149146,3.950623131,3.994784139
7,1,0.024157,123,360.0666667,5.32,3.85844504,4.09926463,3.54448477,3.885718477
7,2,0.024157,123,0,5.97,4.960515818,4.74087131,4.661537551,5.115490148
7,2,0.024157,123,59.71666667,5.96,4.576824665,4.493070948,4.25633581,4.704295702
7,2,0.024157,123,120.0166667,6.15,4.887589533,5.019507938,4.677396977,4.951879096
7,2,0.024157,123,179.6666667,5.92,4.339013405,4.496314086,3.866283414,4.227559771
7,2,0.024157,123,239.8,5.96,3.968275603,4.24823796,3.540631716,3.855523395
7,2,0.024157,123,299.9,6.03,3.600489008,3.995286121,3.058140375,3.463368699
7,2,0.024157,123,359.55,6.02,3.499234316,3.794654324,3.035593973,3.256577519
7,3,0.024157,123,0,5.99,5.304433981,5.192467872,4.661537551,5.672088392
7,3,0.024157,123,29.96666667,5.94,0,0,0,0
7,3,0.024157,123,60.13333333,5.81,5.324332962,5.100305134,4.819509692,5.168151384
7,3,0.024157,123,119.8333333,5.88,5.437177182,5.275993403,5.279762575,5.402588773
7,3,0.024157,123,179.85,6.03,4.945172502,5.127027696,4.848732804,4.941413259
7,3,0.024157,123,239.9666667,5.93,4.607941101,4.803300117,4.293754599,4.508941834
7,3,0.024157,123,299.95,6.05,4.616265731,4.969263968,4.357352459,4.816258065
7,3,0.024157,123,359.9,5.81,4.359045744,4.827136279,4.098252079,4.335239014
8,1,0.31059,124,0,5.97,4.960941555,4.913505955,4.795404517,4.850195081
8,1,0.31059,124,14.9,5.86,4.326285255,4.385923097,3.930202185,4.175477436
8,1,0.31059,124,30.08333333,5.95,4.336650938,4.837984205,3.626021728,3.985551264
8,1,0.31059,124,45.11666667,5.9,3.176303485,3.692953133,2.436799384,2.791214003
8,1,0.31059,124,59.93333333,6.04,2.746389276,3.412678664,1.861565969,2.299941329
8,1,0.31059,124,120.25,6.03,1.990203753,3.236618332,0.722799207,1.298543001
8,2,0.31059,124,0,5.94,4.92277319,4.662387364,4.797256446,4.921907789
8,2,0.31059,124,15.01666667,5.97,4.325859517,4.353724754,4.04973565,4.331302987
