Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,0.0244,24,0,6.38,44.18106,53.14516,45.20973,60.89964
1,1,0.0244,24,10.26666667,6,31.87323,45.478,43.4228,51.14373
1,1,0.0244,24,19.78333333,5.99,17.25937,27.72059,28.69939,28.11235
1,1,0.0244,24,29.78333333,6.25,15.19849,27.8401,36.05818,26.72977
1,1,0.0244,24,39.73333333,6,9.19143,24.50292,31.75442,19.59255
1,2,0.0244,24,0,0,0,0,0,0
1,2,0.0244,24,0,0,0,0,0,0
1,2,0.0244,24,0,0,0,0,0,0
1,2,0.0244,24,0,0,0,0,0,0
1,2,0.0244,24,0,0,0,0,0,0
1,3,0.0244,24,0,0,0,0,0,0
1,3,0.0244,24,0,0,0,0,0,0
1,3,0.0244,24,0,0,0,0,0,0
1,3,0.0244,24,0,0,0,0,0,0
1,3,0.0244,24,0,0,0,0,0,0
2,1,0.0244,48,0,6.48,43.32901,52.21475,43.77338,62.60968
2,1,0.0244,48,10.51666667,6.18,0,0,0,0
2,1,0.0244,48,20.16666667,6.18,19.02415,29.11161,30.18946,30.18909
2,1,0.0244,48,29.88333333,6.19,10.59078,21.10235,23.52334,18.9863
2,1,0.0244,48,40.2,6.01,0,17.58879,23.32596,18.13921
2,2,0.0244,48,0,0,0,0,0,0
2,2,0.0244,48,0,0,0,0,0,0
2,2,0.0244,48,0,0,0,0,0,0
2,2,0.0244,48,0,0,0,0,0,0
2,2,0.0244,48,0,0,0,0,0,0
2,3,0.0244,48,0,0,0,0,0,0
2,3,0.0244,48,0,0,0,0,0,0
2,3,0.0244,48,0,0,0,0,0,0
2,3,0.0244,48,0,0,0,0,0,0
2,3,0.0244,48,0,0,0,0,0,0
3,1,0.127,41,0,6.08,41.69591,48.80233,38.71404,55.67443
3,1,0.127,41,9.716666667,6.07,6.6226,16.94825,23.33683,12.1828
3,1,0.127,41,19.66666667,5.92,0,12.64998,23.60637,10.23684
3,1,0.127,41,29.83333333,6.04,0,0,0,0
3,1,0.127,41,39.96666667,6.03,0,11.84389,23.18963,9.3038
3,2,0.127,41,0,0,0,0,0,0
3,2,0.127,41,0,0,0,0,0,0
3,2,0.127,41,0,0,0,0,0,0
3,2,0.127,41,0,0,0,0,0,0
3,2,0.127,41,0,0,0,0,0,0
3,3,0.127,41,0,0,0,0,0,0
3,3,0.127,41,0,0,0,0,0,0
3,3,0.127,41,0,0,0,0,0,0
3,3,0.127,41,0,0,0,0,0,0
3,3,0.127,41,0,0,0,0,0,0
