Data,Replicate,DNA,T7,Time ,Mass,ATP,UTP,CTP,GTP
1,1,0.0122,24,0,5.83,4.588001338,4.615394422,4.699487862,4.58058949
1,1,0.0122,24,10.5,5.89,4.203048814,4.491527621,4.116452771,4.392267461
1,1,0.0122,24,20.81666667,5.99,3.339251079,3.750058725,3.137268992,3.360174579
1,1,0.0122,24,30.25,6,3.040812866,3.65290428,2.596785077,2.845998965
1,1,0.0122,24,40.55,5.88,2.631990019,3.296779418,2.078163179,2.324592596
1,2,0.0122,24,0,5.88,4.899930198,4.813112637,4.929695053,4.812491742
1,2,0.0122,24,10.4,5.99,4.4763582,4.62922179,4.25988159,4.229328087
1,2,0.0122,24,19.76666667,5.96,4.325937053,4.771893707,3.809561395,4.183610044
1,2,0.0122,24,29.73333333,5.74,3.509333779,4.113626946,3.073455312,3.132368108
1,2,0.0122,24,40.15,5.98,3.166561244,3.737047468,2.579442011,2.846984002
1,3,0.0122,24,0,5.57,4.996281258,5.125563589,4.937211571,4.963206213
1,3,0.0122,24,9.8,5.63,0,0,0,0
1,3,0.0122,24,18.96666667,5.94,4.362191538,4.66720286,4.065821249,4.076311778
1,3,0.0122,24,29.91666667,5.89,3.54046412,4.002316826,3.11463974,3.166533161
1,3,0.0122,24,40.05,5.95,3.273510236,3.719081059,2.730539605,2.967344033
2,1,0.0061,24,0,6.43,4.931586092,4.984927963,5.095549716,5.074837898
2,1,0.0061,24,9.683333333,5.91,4.359279278,4.466759843,4.383778643,4.379862697
2,1,0.0061,24,19.85,5.95,3.990384359,4.245046098,4.02716691,4.056904582
2,1,0.0061,24,29.66666667,6.36,4.048905361,4.444339382,3.964049094,4.084138959
2,1,0.0061,24,39.96666667,5.84,3.801783509,4.113686759,3.605368802,3.79164059
2,2,0.0061,24,0,5.99,4.828321402,4.755563508,4.850216707,4.593546881
2,2,0.0061,24,10.03333333,5.85,4.497099092,4.6020522,4.374952474,4.214844214
2,2,0.0061,24,19.81666667,5.97,4.29843455,4.426592287,4.05310419,3.930930676
2,2,0.0061,24,29.26666667,5.91,4.051163936,4.338874957,3.656967397,3.648064613
2,2,0.0061,24,40.06666667,5.98,3.861680287,4.179039452,3.368445634,3.328617033
2,3,0.0061,24,0,5.92,5.067015942,4.789507884,5.264662449,4.732724204
2,3,0.0061,24,15.18333333,6.08,4.442981228,4.520534125,4.248512247,4.143477919
2,3,0.0061,24,29.45,5.96,4.04169312,4.201917148,3.835854339,3.86769723
2,3,0.0061,24,44.91666667,5.92,3.820384184,4.097579861,3.488285266,3.442591561
2,3,0.0061,24,60.05,5.8,3.606856475,4.148012607,3.090754366,3.203746518
3,1,0.00305,24,0,6.4,5.114764189,5.103843601,5.281152636,5.140728242
3,1,0.00305,24,10.06666667,5.8,4.800861247,4.836903474,4.82694512,4.774819881
3,1,0.00305,24,20.3,5.43,4.485793183,4.574263216,4.448091917,4.443922754
3,1,0.00305,24,30.46666667,5.62,4.339372322,4.463109939,4.237096513,4.223948123
3,1,0.00305,24,40.43333333,6.06,4.40621965,4.574862672,4.363348797,4.346664043
3,3,0.00305,24,0,5.94,4.850185067,4.790592488,4.881895756,4.709821382
3,3,0.00305,24,14.75,5.84,4.725382467,4.698580606,4.731314409,4.589459487
3,3,0.00305,24,29.6,5.95,4.809658834,4.877254456,4.824690998,4.669639865
3,3,0.00305,24,44.66666667,5.96,4.622939768,4.736949794,4.469322303,4.396719234
3,3,0.00305,24,60.15,6.01,4.429847827,4.510857759,4.310121763,4.213239451
4,1,0.0244,24,0,5.99,4.750638339,4.501556218,4.718479589,4.508424541
4,1,0.0244,24,9.9,6.08,3.658856925,4.009042433,3.13899854,3.203964587
4,1,0.0244,24,20.31666667,5.96,2.747502054,3.388752754,1.962257259,2.149592338
4,1,0.0244,24,29.95,6.07,2.228877677,3.120339905,1.209984536,1.554022055
4,1,0.0244,24,40.15,5.96,1.632628874,2.593163992,0.661834225,1.095097075
4,2,0.0244,24,0,5.96,5.029981815,4.862468754,4.950553122,4.856877142
4,2,0.0244,24,9.8,6,3.867247459,4.12807105,3.374623952,3.531219777
4,2,0.0244,24,20.43333333,6.14,3.180678428,3.825365583,2.290375453,2.576179757
4,2,0.0244,24,29.88333333,6.06,2.29191583,3.173369852,1.34793209,1.664911934
4,2,0.0244,24,39.83333333,6,1.91067584,3.057694734,0.855404488,1.26637898
4,3,0.0244,24,0,5.91,5.338851825,5.22527536,5.235186375,5.139966865
4,3,0.0244,24,9.866666667,5.97,4.04263347,4.434772007,3.487612003,3.632799793
4,3,0.0244,24,19.98333333,5.92,3.184253059,3.985502809,2.334208921,2.633089205
4,3,0.0244,24,29.61666667,5.86,2.325362297,3.300247226,1.441998594,1.849431737
4,3,0.0244,24,39.81666667,5.94,1.941092775,3.087235565,0.876034171,1.392074243
5,1,0.0122,6,0,5.89,4.938753813,4.663164837,4.751459962,4.639939632
5,1,0.0122,6,14.95,5.79,4.286636749,4.31954349,3.963568532,3.906448253
5,1,0.0122,6,29.81666667,5.59,3.865523124,4.011797805,3.45047429,3.503193269
5,1,0.0122,6,44.9,5.81,3.377360202,3.700850146,2.953754853,3.107579084
5,1,0.0122,6,60.08333333,5.91,3.399243412,3.72143768,2.833506029,2.956406109
5,2,0.0122,6,0,5.74,5.179220467,5.146111248,5.129936091,4.964070101
5,2,0.0122,6,14.88333333,5.82,4.615130308,4.537475743,4.342150527,4.274112348
5,2,0.0122,6,29.98333333,5.86,4.243897546,4.384626362,3.955962801,3.921303029
5,2,0.0122,6,45.01666667,5.95,3.830576007,4.082620038,3.407733982,3.457192855
5,2,0.0122,6,59.78333333,5.94,3.669609049,4.133757245,3.298353717,3.387317629
5,3,0.0122,6,0,5.83,4.911974488,4.777932132,4.795652663,4.766782086
5,3,0.0122,6,15.11666667,5.91,4.333738913,4.515141678,4.155375939,4.189525861
5,3,0.0122,6,29.76666667,5.81,4.088360942,4.309235767,3.723374209,3.791101941
5,3,0.0122,6,45.08333333,5.8,3.766103441,4.079812829,3.33848067,3.483756252
5,3,0.0122,6,60.75,5.16,3.277917716,3.597860638,2.732090727,2.959767538
6,1,0.00305,6,0,5.56,4.890435493,4.725035102,4.728109868,4.615352835
6,1,0.00305,6,14.2,5.86,4.541436672,4.423396959,4.507781563,4.497403676
6,1,0.00305,6,29.73333333,5.83,4.42643716,4.339628597,4.340930089,4.302044732
6,1,0.00305,6,44.53333333,5.87,4.483964606,4.42774202,4.351005245,4.408785711
6,1,0.00305,6,59.43333333,5.88,4.674692643,4.677687363,4.543589403,4.480822987
6,3,0.00305,6,0,5.94,4.928521813,4.896896949,4.872826926,4.83071913
6,3,0.00305,6,14.05,5.86,4.928521813,4.896896949,4.872826926,4.83071913
6,3,0.00305,6,29.88333333,5.88,4.727860386,4.666954305,4.518324196,4.551495936
6,3,0.00305,6,44.66666667,5.78,4.732564304,4.70430003,4.413210706,4.397014652
6,3,0.00305,6,60.2,6.24,4.974193907,5.128281744,4.747903325,4.746099094
7,1,0.0061,6,0,6.09,5.059332584,4.890920686,4.920663242,4.967846939
7,1,0.0061,6,14.91666667,5.96,4.90441416,4.715487531,4.624752636,4.64361942
7,1,0.0061,6,29.76666667,5.9,5.362948257,5.371091196,5.09242498,5.14511849
7,1,0.0061,6,44.76666667,5.84,4.104470098,4.137204041,3.784191523,3.8701452
7,1,0.0061,6,59.98333333,5.81,3.882529271,4.010819991,3.508729687,3.669318711
7,2,0.0061,6,0,5.94,5.366435054,5.009007485,5.102245051,4.977256489
7,2,0.0061,6,15.63333333,5.88,4.739384134,4.567102339,4.525285513,4.441808298
7,2,0.0061,6,29.91666667,5.93,4.804222765,4.636689155,4.497350035,4.407855411
7,2,0.0061,6,46.41666667,5.85,4.769740876,4.821302991,4.360583942,4.307068929
7,2,0.0061,6,59.75,5.78,4.639101703,4.587966301,4.150419032,4.092824701
7,3,0.0061,6,0,5.84,5.150638625,4.857002652,5.03088162,4.831567552
7,3,0.0061,6,15.7,5.83,4.772987469,4.690425268,4.597202848,4.478879815
7,3,0.0061,6,29.86666667,5.9,5.513796375,5.427113752,5.249624223,5.062794343
7,3,0.0061,6,45.01666667,5.8,4.733754147,4.631517471,4.403083116,4.276533076
7,3,0.0061,6,60.15,5.8,4.367944281,4.484252006,4.036248836,4.006540371
8,1,0.0122,48,0,6.54,5.322111382,5.091507401,5.26357514,5.234943167
8,1,0.0122,48,9.75,6.13,4.598223148,4.688325446,4.289995494,4.388255007
8,1,0.0122,48,19.8,6.09,3.765589405,4.073356829,3.243610585,3.475508907
8,1,0.0122,48,29.73333333,6.06,3.422761249,3.961773571,2.643967439,2.947305203
8,1,0.0122,48,39.95,6.07,2.660133264,3.314210721,1.861735604,2.219536394
8,2,0.0122,48,0,6.06,5.228351751,4.997006008,5.025769127,4.893718024
8,2,0.0122,48,10.26666667,6.06,4.449189174,4.453333333,3.963673065,3.968514344
8,2,0.0122,48,20.2,6.09,3.928605665,4.134748431,3.324153675,3.363378439
8,2,0.0122,48,29.98333333,6.16,3.269411281,3.718750042,2.517916554,2.682150943
8,2,0.0122,48,39.91666667,6.01,2.620593929,3.180473266,1.824261212,2.030926506
8,3,0.0122,48,0,6.14,4.801141792,4.571749069,4.680974438,4.597230603
8,3,0.0122,48,9.916666667,6.11,4.78563931,4.780242339,4.532825088,4.500627397
8,3,0.0122,48,19.63333333,6.07,4.084364255,4.307333938,3.666312217,3.710869084
8,3,0.0122,48,29.78333333,5.97,3.516895994,3.957936428,2.900070289,3.09808392
8,3,0.0122,48,39.83333333,6.01,3.103861362,3.710898533,2.377806614,2.607478879
9,1,0.0244,48,0,5.96,4.873900573,4.725424093,4.755079751,4.728898407
9,1,0.0244,48,9.766666667,6.09,3.704953796,4.001949451,3.241146256,3.408039912
9,1,0.0244,48,19.76666667,6.13,2.901576682,3.537044272,2.027859782,2.356068058
9,1,0.0244,48,30.30833333,5.98,2.067439195,2.96673044,1.084067165,1.503999247
9,1,0.0244,48,40,6.16,1.560767775,2.626206156,0.523843681,0.965022945
9,2,0.0244,48,0,6.04,5.086852944,4.823192025,4.861925445,4.746607677
9,2,0.0244,48,10.13333333,6.1,4.205724314,4.415347229,3.647835151,3.747939661
9,2,0.0244,48,20.48333333,5.93,3.546962077,4.248947068,2.553639122,2.911830184
9,2,0.0244,48,29.96666667,6.11,2.279976967,3.108327459,1.299568051,1.65226555
9,2,0.0244,48,39.8,6.02,1.78232252,2.772729165,0.679616713,1.113626244
9,3,0.0244,48,0,6.22,5.265322329,5.224693049,5.045444114,5.01457087
9,3,0.0244,48,10.05,6.19,4.110046341,4.353622663,3.599945931,3.64740922
9,3,0.0244,48,20.15,6.02,2.999803669,3.625760414,2.172406957,2.390051067
9,3,0.0244,48,29.9,6.06,2.305467109,3.219403216,1.313813343,1.691017344
9,3,0.0244,48,39.91666667,5.94,2.420983301,3.707423892,1.033593464,1.449996941
10,1,0.0244,3,0,5.89,5.210856344,4.922185748,5.011332793,4.947015273
10,1,0.0244,3,15.01666667,5.62,5.465832351,5.310561541,5.38853504,5.353482221
10,1,0.0244,3,29.73333333,5.69,4.600341112,4.380731044,4.477768766,4.46912009
10,1,0.0244,3,44.86666667,5.81,5.051922455,4.915302252,4.926287585,4.934682889
10,1,0.0244,3,59.8,5.69,4.600341112,4.380731044,4.477768766,4.46912009
10,2,0.0244,3,0,5.63,5.041490581,4.623996241,4.824353729,4.905161791
10,2,0.0244,3,15.45,5.75,5.142186515,4.659757661,4.879392028,4.800959217
10,2,0.0244,3,29.78333333,5.76,4.383176945,4.514485953,4.478549758,4.421398348
10,2,0.0244,3,45.08333333,5.75,4.659241548,4.429346491,4.552620228,4.655988516
10,2,0.0244,3,59.81666667,5.76,4.612597,4.263319572,4.323473611,4.268632481
11,1,0.0061,3,0,5.85,5.068719186,4.849153828,4.920752155,4.956263855
11,1,0.0061,3,16.18333333,5.81,5.135555129,5.002083711,5.024060557,4.915939096
11,1,0.0061,3,30.58333333,5.85,4.991342784,4.731221428,4.908269502,4.885938861
11,1,0.0061,3,44.78333333,5.75,5.472930982,5.032755345,5.106330239,4.990531146
11,1,0.0061,3,59.95,5.83,5.234965587,4.929313597,5.015824097,4.945661638
11,2,0.0061,3,0,5.8,5.300405276,4.886173262,5.149660869,5.102050691
11,2,0.0061,3,15.6,5.84,5.154939263,4.863554526,4.938502298,4.99444332
11,2,0.0061,3,30.06666667,5.87,5.059398393,4.640647132,4.938800276,4.903297014
11,2,0.0061,3,44.95,5.8,5.401499356,5.052057866,5.178036106,5.125994399
11,2,0.0061,3,59.85,5.76,5.229042749,4.925081731,4.99053558,4.928001318
18,2,0.0122,12,0,5.84,4.971269846,5.015821166,4.804961101,5.056908197
18,2,0.0122,12,10.03333333,6.01,4.481154954,4.794624241,4.198501697,4.381563081
18,2,0.0122,12,20.08333333,5.73,3.731691025,3.991416776,3.48867742,3.891560492
18,2,0.0122,12,30,5.9,3.702605501,3.889176652,3.334065063,3.636209258
18,2,0.0122,12,40.06666667,5.78,3.315448189,4.098162656,2.82002343,3.253800861
18,3,0.0122,12,0,5.86,5.095883079,4.84879804,4.717524857,4.948751088
18,3,0.0122,12,10.11666667,5.89,4.735224986,4.815544591,4.215689526,4.62400866
18,3,0.0122,12,20.26666667,5.83,4.402631276,4.562156211,3.920018023,4.038177582
18,3,0.0122,12,29.55,5.8,4.074246072,4.604136542,3.344751434,3.713498223
18,3,0.0122,12,39.78333333,5.75,3.575295182,3.891330178,2.968272506,3.321878898
19,1,0,0,0,6.38,5.188820816,5.777597444,5.072165777,5.383509028
19,1,0,0,10.26666667,6,4.4402353,5.549239617,3.659169967,4.521089969
19,1,0,0,19.78333333,5.99,2.706495155,3.667654952,1.981447678,2.485128953
19,1,0,0,29.78333333,6.25,2.718162513,4.608076677,1.744848172,2.362907468
19,1,0,0,39.73333333,6,2.392335668,4.058070288,1.05520923,1.731980817
19,2,0,0,0,5.97,4.818746068,5.001579367,4.579175317,4.732992672
19,2,0,0,10.06666667,5.98,3.882324481,4.364655112,3.268430349,3.259486367
19,2,0,0,19.83333333,6.02,2.914845758,3.796107121,2.116251649,2.448414427
19,2,0,0,30.13333333,5.93,3.050352379,4.008147084,2.776952457,2.156864506
19,2,0,0,39.88333333,5.88,2.34019265,3.607838105,0.998756667,1.737623732
19,3,0,0,0,6,5.542077206,5.332860928,5.260696221,4.931719813
19,3,0,0,10.65,6.06,4.102177677,4.130419739,3.136954751,3.293922229
19,3,0,0,20.03333333,6.01,2.91563099,3.64233777,2.03765556,2.491997975
19,3,0,0,30.05,6.02,2.495706587,3.414747997,1.255884613,1.582941397
19,3,0,0,39.86666667,5.93,1.939038701,2.752671327,0.768659747,1.103096323
20,1,0,0,0,6.48,4.874354756,4.968135463,5.089046553,4.995733828
20,1,0,0,10.51666667,6.18,3.475040152,4.172267093,3.152042937,3.59437424
20,1,0,0,20.16666667,6.18,2.653593693,3.390442173,2.157972562,2.332607571
20,1,0,0,29.88333333,6.19,2.050340501,3.146352716,1.291166982,1.776397268
20,1,0,0,40.2,6.01,1.746924748,2.66531246,0.750385167,1.480247519
20,2,0,0,0,6.16,4.387651864,4.378700884,4.237367666,4.423840144
20,2,0,0,10.01666667,6.16,4.050837174,4.532746018,3.476557894,3.582587531
20,2,0,0,20.08333333,6.06,2.846406711,3.590084586,2.195776796,2.530341322
20,2,0,0,30.1,6.07,2.262186456,3.168356475,1.024002982,1.641099448
20,2,0,0,40.18333333,6.15,2.527740142,3.774053433,1.492561794,0.488772694
20,3,0,0,0,6.18,5.257517009,5.567764052,5.064324138,5.141388614
20,3,0,0,9.916666667,6.23,4.137874997,4.948142615,3.486087056,3.660375432
20,3,0,0,19.91666667,6.21,3.587461653,4.252140828,2.55221311,2.443814177
20,3,0,0,29.78333333,6.11,2.845547346,3.999323311,1.675507255,2.086024515
20,3,0,0,39.73333333,6.07,2.890464555,4.446639216,1.831153295,1.907713299
21,1,0,0,0,6.37,5.900037555,5.948957196,5.685479154,5.984099822
21,1,0,0,4.916666667,5.9,3.044681152,4.070263334,2.284084418,3.172833344
21,1,0,0,9.9,5.97,1.87872412,2.718688755,0,1.376586783
21,1,0,0,14.85,5.98,0,1.37876983,0,1.815039282
21,1,0,0,20.13333333,6.05,1.516991733,2.626500686,0,0.804300962
21,2,0,0,0,6.11,4.817007828,4.558203581,4.809123129,4.74654255
21,2,0,0,4.95,6.08,2.556551808,3.314131954,2.057819579,2.370387095
21,2,0,0,10.06666667,6.01,1.723500866,3.143057231,0.837725526,1.602321252
21,2,0,0,15.03333333,5.92,1.071939913,2.369737942,0,0.808962831
21,2,0,0,20.13333333,5.93,1.229796864,2.360926937,0,0.711312691
21,3,0,0,0,6.02,5.143335528,5.216876377,5.060806331,4.690468079
21,3,0,0,4.883333333,6,3.374951594,4.54328322,2.161605781,2.520522876
21,3,0,0,10.15,5.97,2.050120223,4.255994127,2.057228881,1.558610946
21,3,0,0,15.13333333,6.43,3.140448216,4.091755243,0,1.391213222
21,3,0,0,20.13333333,6.02,1.783667179,3.556914041,0,0.759880284
22,1,0,0,0,5.85,4.173021192,4.666217243,4.205185525,5.215877291
22,1,0,0,9.983333333,5.98,2.342153291,4.20430783,1.052231462,2.21483242
22,1,0,0,19.9,5.89,1.211305387,2.643649015,0,0.823159702
22,1,0,0,29.93333333,5.72,2.357962299,5.874131954,0,1.520424286
22,1,0,0,39.75,5.8,1.267589436,3.16789556,0,0.773309566
22,2,0,0,0,6,4.846389153,5.553370998,5.301657395,5.549046896
22,2,0,0,10.01666667,5.96,1.845461507,3.246997989,0.869420198,1.305534649
22,2,0,0,19.95,5.91,1.540532104,2.952856459,0,1.688572875
22,2,0,0,30.01666667,5.75,1.082281562,2.400835009,0,0
22,2,0,0,39.81666667,5.89,1.283563294,3.043160011,0,1.154404172
22,3,0,0,0,5.97,4.950925452,4.964443168,5.290285026,5.117544068
22,3,0,0,9.95,5.98,1.636631795,3.438854735,0,1.55855549
22,3,0,0,19.88333333,5.87,0.950357744,2.463451754,0,0
22,3,0,0,29.96666667,5.89,1.016655693,2.46195027,0,0
22,3,0,0,39.91666667,5.78,1.2408262,3.277118325,0,0.919837151
23,1,0,0,0,5.94,4.833299732,4.821339979,4.933843285,4.831216936
23,1,0,0,10.36666667,5.91,1.604913673,2.865484205,0.664213611,1.177880995
23,1,0,0,19.8,6.01,1.077295442,2.525440186,0,0.556479734
23,1,0,0,30.03333333,5.87,1.065794102,2.471219575,0,0.540801838
23,1,0,0,39.95,5.83,1.040714209,2.491039617,0,0.517351978
23,2,0,0,0,5.8,5.146443968,5.081771103,5.153850981,4.948294138
23,2,0,0,10.06666667,5.86,2.120230563,3.268109788,1.123271662,1.527417983
23,2,0,0,20.1,5.81,1.309484182,2.844346194,0,0.60008214
23,2,0,0,30,5.9,1.211075603,2.649334542,0,0.547135384
23,2,0,0,40.35,5.91,1.238555496,2.781661056,0,0.575486237
23,3,0,0,0,5.88,4.715888472,4.626210513,4.842403718,4.703065565
23,3,0,0,9.883333333,5.9,1.865731903,3.016017607,0.897913028,1.231397839
23,3,0,0,19.9,5.83,1.065187131,2.53978638,0,0.577116315
23,3,0,0,30.11666667,5.85,1.601344772,3.000547644,0,1.064848189
23,3,0,0,39.95,5.81,1.046634853,2.46891507,0,0.533149171
