Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
1,1,0.07215,19,0,5.94,4.882968365,4.799866649,4.821168112,4.80173862
1,1,0.07215,19,10.08333333,5.94,4.847000536,4.792790005,4.834197922,4.838617318
1,1,0.07215,19,19.98333333,5.96,5.079594638,4.967494821,5.13941328,4.989198651
1,1,0.07215,19,29.98333333,6,4.932361394,4.856105645,4.908914479,4.945846575
1,1,0.07215,19,40.05,5.93,4.812057909,4.800279648,4.851617181,4.891712707
1,2,0.07215,19,0,6.06,5.056514745,5.02937856,5.050107457,5.008077055
1,2,0.07215,19,10.16666667,5.91,4.846252011,4.815297773,4.813578047,4.826345279
1,2,0.07215,19,19.91666667,5.94,4.735780161,4.775693941,4.658183002,4.710718232
1,2,0.07215,19,30.01666667,5.95,4.793072386,4.761407302,4.779999408,4.697898597
1,2,0.07215,19,39.85,5.95,5.071428418,5.015573537,4.985503093,4.943267002
1,3,0.07215,19,0,5.98,4.805404826,4.783228897,4.810467423,4.905009534
1,3,0.07215,19,10.06666667,5.96,4.987385523,4.853069653,5.017152837,4.845019313
1,3,0.07215,19,20.03333333,6.03,5.026866488,5.000323666,5.042838282,4.916419107
1,3,0.07215,19,29.83333333,5.97,4.796230563,4.777107716,4.76363518,4.832987826
1,3,0.07215,19,39.88333333,6,5.438334584,5.368750647,5.384028892,5.516188334
2,1,0.0195,46,0,6.04,4.842998391,4.750336613,4.826613777,4.828819244
2,1,0.0195,46,9.916666667,6.09,4.834077212,4.806705075,4.868500044,4.868125947
2,1,0.0195,46,19.83333333,6.12,4.752685255,4.67920378,4.790095024,4.855195815
2,1,0.0195,46,29.95,6.1,4.980424665,4.901323149,4.950698914,4.967943089
2,1,0.0195,46,39.95,6.15,5.088698123,5.008864578,5.049425417,5.027052266
2,2,0.0195,46,0,6.02,5.250832172,5.10573537,5.232708327,5.217350022
2,2,0.0195,46,9.816666667,6.12,4.786545845,4.738724754,4.699854948,4.923611206
2,2,0.0195,46,20.01666667,6.17,4.959201072,4.815324961,4.85541695,4.888767418
2,2,0.0195,46,29.85,6.2,4.839938874,4.760208441,4.835410438,4.862504278
2,2,0.0195,46,39.96666667,6.08,0,0,0,0
2,3,0.0195,46,0,6.03,4.904410724,4.796883739,5.142179332,4.931644258
2,3,0.0195,46,9.966666667,6.07,5.549513137,5.630534697,5.717876913,5.575524373
2,3,0.0195,46,19.75,6.1,4.793121716,4.668481357,5.031435422,4.895395297
2,3,0.0195,46,30.3,6.01,4.588540483,4.513353185,4.867853527,4.760725566
2,3,0.0195,46,39.93333333,6.16,4.720969437,4.732110306,4.930720819,4.898111768
