DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.00305,24,2.631123378,2
0.00305,6,0.498447915,2
0.0061,24,5.384366141,2
0.0061,6,3.705664199,2
0.0122,24,11.85542142,2
0.0122,6,6.478148272,2
0.0122,48,14.59162708,2.362162567
0.0122,12,9.938654658,2
0.0244,12,18.46704864,2.635855892
0.0244,24,23.1319765,2.029973553
0.0244,48,23.8474239,2
0.0244,3,2.514324712,2
0.0244,24,18.67982349,3.955867132
0.0244,48,14.71938328,2
0.127,41,118.4616286,27.84213963
0.31059,20,76.21453885,2.927144391
0.31059,12,52.88277834,5.263438379
